type_id,kind_id,id,name,search_word,carbohydrate_per_100g,carbohydrate_per_weight,weight,weight_hint,calory,protein,fat,sodium,deleted_flg
5,35,1058,コーラ,,11.4,22.8,200,,92,0.2,0,0,FALSE
5,35,1059,サイダー,,10.2,20.4,200,,82,0,0,0,FALSE
5,35,1060,ビール風味炭酸飲料,,1.2,2.4,200,,10,0.2,0,0,FALSE
5,35,1061,麦茶,,0.3,0.6,200,,2,0,0,0,FALSE
5,36,1062,日本酒,,4.5,8.1,180,,193,0.7,0,0,FALSE
5,36,1063,ビール,,3.1,6.2,200,,80,0.6,0,0,FALSE
5,36,1064,黒ビール,,3.4,6.8,200,,92,0.8,0,0,FALSE
5,36,1065,白ワイン,,2,2,100,,73,0.1,0,0,FALSE
5,36,1066,赤ワイン,,1.5,1.5,100,,73,0.2,0,0,FALSE
5,36,1067,ロゼワイン,,4,4,100,,77,0.1,0,0,FALSE
5,36,1068,紹興酒,,26.8,40.2,150,,273,0,0,0,FALSE
5,36,1069,焼酎(ロック),,0,0,60,,88,0,0,0,FALSE
5,36,1070,ウイスキー,,0,0,60,,142,0,0,0,FALSE
5,36,1071,ブランデー,,0,0,60,,142,0,0,0,FALSE
5,36,1072,ウォッカ,,0,0,150,,360,0,0,0,FALSE
5,36,1073,梅酒(ロック),,20.7,12.4,60,,94,0.1,0,0,FALSE
5,36,1074,酎ハイ,,0.2,0.4,200,,89,0,0,0,FALSE
5,36,1075,甘酒,,17.9,26.9,150,,122,2.6,0.2,0.3,FALSE
6,37,1076,雪印6Pチーズ,,1.1,0.2,18,,59,3.7,4.7,0.5,FALSE
6,37,1077,雪印アーモンド入りベビーチーズ,,1.7,0.2,12,,40,2.2,3.4,0.3,FALSE
6,37,1078,雪印くちどけスモークチーズ,,2.3,2.3,100,,349,19.8,28.9,3,FALSE
6,37,1079,雪印北海道100さけるチーズプレーン,,2.8,0.7,25,,80,6.8,5.7,0.5,FALSE
6,37,1080,雪印北海道100さけるチーズとうがらし味,,2.8,0.7,25,,80,6.8,5.7,0.5,FALSE
6,37,1081,雪印スライスチーズ,,1.7,0.3,18,,59,3.8,4.8,0.5,FALSE
